time,latitude,longitude,altitude,OH,H2SO4,SO2,NO,O3,NH3,T,P,SUMNC2,glm_T,glm_SO2,glm_O3,glm_CO,glm_OH,glm_H2SO4,glm_NH3,glm_NO,glm_P,glm_SUMNC2,glm_Altitude_AGL,model_T,model_SO2,model_O3,model_CO,model_OH,model_H2SO4,model_NH3,model_NO,model_P,model_SUMNC2,model_Altitude_AGL
2014-08-07 20:34:00,40.4469629,-104.80340865,1775.2816629833333,0.17512072560600875,0.16116234465462542,204.69833333333332,55.74413333333334,59.80171666666667,2.3630166666666668,295.3766264166667,82546.13728833334,0.0059150956752188925,298.0931081130392,442.28161830395817,70.25548101020183,95.3491063622076,0.622110862613944,0.21740751484918402,2.7412486569064067,129.55979506331033,82200.125,0.009841744269379286,42.83285814628401,298.5027532270133,86.46535449862041,61.26413151996366,84.02580737937197,0.6434077129042987,0.19643334701154175,1.6958881475152534,265.6988159402464,82253.25,0.006556904910058516,329.6532434414838
2014-08-07 20:35:00,40.38343661666667,-104.80622863333333,1764.26334225,0.1751698414482358,0.16120754561108339,139.17833333333334,55.711666666666666,57.56836666666666,1.4558666666666666,295.8474363666666,82654.62738166667,0.005020650778599362,298.4709890486451,453.7287991617357,70.42725209687131,95.7392878358774,0.6129923169532011,0.4598614110480943,2.8478967313988037,138.04557954613543,82451.125,0.00507372710358215,16.058606518999596,299.0070154416391,81.67627190591004,60.35301677000834,80.46294429927265,0.43221521411161545,0.13760760491659485,1.7483885821840213,221.64983635630472,82283.5,0.006142295144943403,269.8272195035445
2014-08-07 20:36:00,40.320461083333335,-104.8084396,1808.7966755666666,0.20851457866536643,0.1192897398743381,127.24666666666667,48.9023,55.93836666666667,1.3306333333333333,295.19541839999994,82243.021745,0.005376270282583227,297.7295465101257,435.92765919938364,70.13591607722442,95.11330913631305,0.629074829051502,0.21663942623377108,2.6837437399671003,124.75851661836707,81849.5,0.009907750253826817,80.33762970539749,298.5298858960097,104.05876617281602,61.83560466872942,80.83203280760213,0.4212745566939991,0.16379114632878622,2.1437518400299598,129.73560672449514,81598.25,0.0067054783286849984,393.1203005776653
2014-08-07 20:37:00,40.25476068333333,-104.81109848333334,1791.3283385833333,0.36316263190855674,0.09244433870316995,33.42333333333333,60.744416666666666,52.05643333333333,0.7514833333333333,294.84310364999993,82453.85630666667,0.004891613926447472,298.0931081130392,442.28161830395817,70.25548101020183,95.3491063622076,0.622110862613944,0.21740751484918402,2.7412486569064067,129.55979506331033,82200.125,0.009841744269379286,42.83285814628401,299.07425232646455,140.89422974620825,63.2352520091405,84.6299950085582,0.4991393033271631,0.23655777024810803,2.325560285095172,210.71769104185677,82120.625,0.007366231756914427,329.66047910820186
2014-08-07 20:38:00,40.18895598333334,-104.81368381666667,1823.6933349666665,0.4592877339455705,0.24014672923812644,57.07333333333334,269.77074999999996,52.04358333333334,1.1579833333333334,293.34041526666664,82161.82403666667,0.005923617824291776,297.7295465101257,435.92765919938364,70.13591607722442,95.11330913631305,0.629074829051502,0.21663942623377108,2.6837437399671003,124.75851661836707,81849.5,0.009907750253826817,80.33762970539749,298.70343923400014,184.6913946447637,65.42924395274903,91.82947911869266,0.6203011359850069,0.3266230634617245,2.251920780495894,277.6440388654651,81991.25,0.008343615203453765,328.27653285872935
2014-08-07 20:39:00,40.122548916666666,-104.81754681666666,1828.9166707833333,0.625258923384374,0.32990350980328265,96.49,297.026,55.05883333333334,1.8059833333333333,292.83880041666663,82147.3587,0.006862760610826314,297.7295465101257,435.92765919938364,70.13591607722442,95.11330913631305,0.629074829051502,0.21663942623377108,2.6837437399671003,124.75851661836707,81849.5,0.009907750253826817,80.33762970539749,298.40884416165727,228.7463578759761,67.99599985385284,99.63500867236208,0.5399707783099341,0.30308481365374773,2.6924015520841675,369.23295433351666,81821.625,0.009324076430870834,327.8865540470626
2014-08-07 20:40:00,40.06327768333333,-104.80861788333333,1821.8383340833332,0.582529153664083,0.3405468846907095,90.91333333333334,237.66049999999998,56.09803333333333,1.1545666666666667,293.47480325,82208.374025,0.005304095809520229,297.7295465101257,435.92765919938364,70.13591607722442,95.11330913631305,0.629074829051502,0.21663942623377108,2.6837437399671003,124.75851661836707,81849.5,0.009907750253826817,80.33762970539749,298.8376996669652,168.83221153672045,63.99737513303969,102.59559173823125,0.3988310622528996,0.16514619747645,1.6107499530675666,494.63353964960686,82234.25,0.008630496161682988,269.05162649120354
2014-08-07 20:41:00,40.08194796666667,-104.75732585,1831.9749979333333,0.5705578313368169,0.33749568902641336,128.81833333333333,179.11364999999998,55.974066666666666,0.933,293.55159861666664,82125.43599166667,0.006882469880760553,297.7295465101257,435.92765919938364,70.13591607722442,95.11330913631305,0.629074829051502,0.21663942623377108,2.6837437399671003,124.75851661836707,81849.5,0.009907750253826817,80.33762970539749,298.1877480299099,191.02455773059688,66.99876783728592,94.59170304185355,0.5214054617894904,0.26138775889232,2.325346623824712,434.92174068691696,81496.5,0.00869625114784987,325.84433244188494
2014-08-07 20:42:00,40.142263250000006,-104.73498655,1881.4749939666665,0.5055765971150554,0.3136137282792699,129.04833333333332,199.8995,55.51613333333333,1.3035,292.83432759999994,81633.50159,0.00843811398165594,297.2615698201434,431.9599200735591,70.0435322190958,94.9514383209731,0.6352922423422082,0.21957143698674803,2.6485084185579044,121.89461526004835,81399.75,0.009861006943481514,128.59364207130608,297.53453031416666,184.29934257513688,67.99060225573577,94.22020643526024,0.6325143290926549,0.3127508057484172,2.867951463528047,443.04085871503577,80872.875,0.008770822252041026,390.65693807276426
2014-08-07 20:43:00,40.203491533333334,-104.70729443333333,1855.2150085833334,0.5341738892501098,0.2980974778914383,145.97,290.862,55.04563333333333,1.4630666666666667,292.82422909999997,81896.87551333333,0.007982975718941406,297.2615698201434,431.9599200735591,70.0435322190958,94.9514383209731,0.6352922423422082,0.21957143698674803,2.6485084185579044,121.89461526004835,81399.75,0.009861006943481514,128.59364207130608,298.1619021384056,139.09350500324172,62.838563892133,82.49463249077168,0.4530781427755544,0.20995469406145553,2.4308042421497493,198.58902710912864,81022.0,0.007310831731670397,391.34113925042044
